Titulo,Autor,Precio,Precio_socio,Link
Bainera Bete Itsaso,Miren Amuriza Plaza / Irati Eguren Arruti (il. ),13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/bainera-bete-itsaso/amuriza-plaza-miren/eguren-arruti-irati-il/9788490276594
Nola Heldu Naiz Ni Honaino (xviii. Igartza Saria),Kattalin Miner Perez,15.1,14.35,https://www.elkar.eus/es/liburu_fitxa/nola-heldu-naiz-ni-honaino-xviii-igartza-saria/miner-perez-kattalin/9788490276860
El laberinto de los espiritus,Carlos Ruiz Zafon,23.9,22.71,https://www.elkar.eus/es/liburu_fitxa/laberinto-de-los-espiritus-el/ruiz-zafon-carlos/9788408163381
Kixotenean,Iñigo Astiz / Maite Mutuberria (il. ),13.5,12.83,https://www.elkar.eus/es/liburu_fitxa/kixotenean/astiz-inigo/mutuberria-maite-il/9788490276709
Elurraren Formula,Bertol Arrieta Kortajarena,8.5,8.08,https://www.elkar.eus/es/liburu_fitxa/elurraren-formula/arrieta-kortajarena-bertol/9788490277058
Años De Niebla,Fernando Palazuelos Gete,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/anos-de-niebla/palazuelos-gete-fernando/9788498437232
(euskal) Literaturaren Alde (eta Kontra),Iban Zaldua Gonzalez,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/euskal-literaturaren-alde-eta-kontra/zaldua-gonzalez-iban/9788490276723
Tierra De Leche Y Miel,Toti Martinez De Lezea,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/tierra-de-leche-y-miel/martinez-de-lezea-toti/9788491091448
Poliki-Poliki,Xabier Deneux,14.95,14.2,https://www.elkar.eus/es/liburu_fitxa/poliki-poliki/deneux-xabier/9788498437089
Perros Salvajes (premio Rba De Novela Negra 2016),Ian Rankin,19.0,18.05,https://www.elkar.eus/es/liburu_fitxa/perros-salvajes-premio-rba-de-novela-negra-2016/rankin-ian/9788490567494
Erraldoiak,Xabier Olaso Bengoa / Enrique Morente Luque (il. ),13.25,12.59,https://www.elkar.eus/es/liburu_fitxa/erraldoiak/olaso-bengoa-xabier/morente-luque-enrique-il/9788490276112
Airearen Isla,Mikel Hernandez Abaitua,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/airearen-isla/hernandez-abaitua-mikel/9788490276662
Lepoan Hartu,John Andueza Altuna,18.15,17.24,https://www.elkar.eus/es/liburu_fitxa/lepoan-hartu/andueza-altuna-john/9788490276068
Slow Mountain - Monterapia 2 - Porque En La Montaña El Tiempo Se Detiene,Juanjo Garbizu,19.0,18.05,https://www.elkar.eus/es/liburu_fitxa/slow-mountain-monterapia-2-porque-en-la-montana-el-tiempo-se-detiene/garbizu-juanjo/9788494362774
Itzal Zaunka (+cd),Harkaitz Cano / Antton Olariaga (il. ) / Jexuxmai Lopetegi (musik. ),23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/itzal-zaunka-cd/cano-harkaitz/olariaga-antton-il/lopetegi-jexuxmai-musik/9788490276013
Hielos Y Oceanos - Vascos Por El Mundo,Jose Antonio Azpiazu Elorza,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/hielos-y-oceanos-vascos-por-el-mundo/azpiazu-elorza-jose-antonio/9788498437034
Harry Potter Y El Legado Maldito,J. K. Rowling,19.0,18.05,https://www.elkar.eus/es/liburu_fitxa/harry-potter-y-el-legado-maldito/rowling-j-k/9788498387544
Gatza,Irati Jimenez,10.0,9.5,https://www.elkar.eus/es/liburu_fitxa/gatza/jimenez-irati/9788416350599
Begiratu Dezaket Zure Pixoihalean?,Guido Van Genechten,12.25,11.64,https://www.elkar.eus/es/liburu_fitxa/begiratu-dezaket-zure-pixoihalean/van-genechten-guido/9788498436907
Besarkada,Uxue Alberdi Estibaritz / Maite Gurrutxaga (il. ),13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/besarkada/alberdi-estibaritz-uxue/gurrutxaga-maite-il/9788490274149
Linbotarrak (xabier Lete Iii. Poesia Saria),Asier Serrano,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/linbotarrak-xabier-lete-iii-poesia-saria/serrano-asier/9788476819418
Estalien Gradora,Joxe Austin Arrieta,15.9,15.11,https://www.elkar.eus/es/liburu_fitxa/estalien-gradora/arrieta-joxe-austin/9788416350490
Guia De Flores De Euskal Herria,Joana Garcia,24.8,23.56,https://www.elkar.eus/es/liburu_fitxa/guia-de-flores-de-euskal-herria/garcia-joana/9788482166162
Bidaia Sentimentala Frantzia Eta Italian Zehar,Laurence Sterne,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/bidaia-sentimentala-frantzia-eta-italian-zehar/sterne-laurence/9788490273951
Mrs. Hemingway,Naomi Wood,19.4,18.43,https://www.elkar.eus/es/liburu_fitxa/mrs-hemingway/wood-naomi/9788416350520
Lo Que El Cuerpo Sabe,David Grossman,17.9,17.01,https://www.elkar.eus/es/liburu_fitxa/lo-que-el-cuerpo-sabe/grossman-david/9788426402905
Mr. Señora,Oier Guillan Bermudez,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/mr-senora/guillan-bermudez-oier/9788416350476
¿quien Era San Ignacio De Loyola?,Iñigo Bolinaga,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/quien-era-san-ignacio-de-loyola/bolinaga-inigo/9788471485687
Finzi-Continitarren Lorategia,Giorgio Bassani,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/finzi-continitarren-lorategia/bassani-giorgio/9788490275733
Horas En Una Biblioteca,Virginia Woolf,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/horas-en-una-biblioteca/woolf-virginia/9788432229299
Asesinato En La Catedral - Un Nuevo Misterio Para Gervase Fen,Edmund Crispin,22.2,21.09,https://www.elkar.eus/es/liburu_fitxa/asesinato-en-la-catedral-un-nuevo-misterio-para-gervase-fen/crispin-edmund/9788416542406
Lehertu Da Festa,Eneko Aizpurua,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/lehertu-da-festa/aizpurua-eneko/9788491091257
"Polvora Y Azafran - Del Reino De Granada A La Tierra De Gracia, Pasando Por El Puerto De Palos",Arantzazu Ametzaga Iribarren,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/polvora-y-azafran-del-reino-de-granada-a-la-tierra-de-gracia-pasando-por-el-puerto-de-palos/ametzaga-iribarren-arantzazu/9788471485694
Nafarroa - Orain Ala Inoiz Ez,Ion Orzaiz / Joxerra Senar,16.5,15.68,https://www.elkar.eus/es/liburu_fitxa/nafarroa-orain-ala-inoiz-ez/orzaiz-ion/senar-joxerra/9788490276617
Laranja Bat Zaborretan,Patxi Zubizarreta Dorronsoro / Mintxo Cemillan (il. ),13.75,13.06,https://www.elkar.eus/es/liburu_fitxa/laranja-bat-zaborretan/zubizarreta-dorronsoro-patxi/cemillan-mintxo-il/9788490274057
Feriatzaileak,Patxi Larrion,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/feriatzaileak/larrion-patxi/9788492468867
